date,O3
2011-07-15,50.78187499999999
2011-07-16,34.889583333333334
2011-07-17,40.418958333333336
2011-07-18,32.82041666666667
2011-07-19,39.829375
2011-07-20,42.84104166666667
2011-07-21,49.75895833333334
2011-07-22,49.708124999999995
2011-07-23,49.376041666666666
2011-07-24,52.34854166666667
2011-07-25,36.991875
2011-07-26,38.212500000000006
2011-07-27,37.90479166666667
2011-07-28,59.368125000000006
2011-07-29,47.48520833333333
2011-07-30,39.581250000000004
2011-07-31,44.06395833333333
2011-08-01,38.57479166666667
2011-08-02,58.612291666666664
2011-08-03,38.29083333333333
2011-08-04,38.17395833333333
2011-08-05,33.00333333333333
2011-08-06,36.061875
2011-08-07,37.67958333333334
2011-08-08,41.07104166666667
2011-08-09,41.89208333333333
2011-08-10,42.18895833333333
